Date,Time,PWM1,RPM,KNOTS,PWM2,RPM2,KNOTS2
01-01-1970,00:01:18,60,1176,23.52,230,4509,90.18
01-01-1970,00:01:19,22,431,8.62,207,4058,81.16
01-01-1970,00:01:20,12,235,4.7,165,3235,64.7
01-01-1970,00:01:21,0,0,0,100,1960,39.2
01-01-1970,00:01:22,0,0,0,45,882,17.64
01-01-1970,00:01:23,0,0,0,0,0,0
01-01-1970,00:01:24,0,0,0,0,0,0
01-01-1970,00:01:25,35,686,13.72,18,352,7.04
01-01-1970,00:01:26,58,1137,22.74,27,529,10.58
01-01-1970,00:01:27,73,1431,28.62,38,745,14.9
01-01-1970,00:01:28,93,1823,36.46,54,1058,21.16
01-01-1970,00:01:29,115,2254,45.08,67,1313,26.26
01-01-1970,00:01:30,150,2941,58.82,85,1666,33.32
01-01-1970,00:01:31,198,3882,77.64,133,2607,52.14
01-01-1970,00:01:32,199,3901,78.02,198,3882,77.64
01-01-1970,00:01:33,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:34,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:35,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:36,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:37,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:38,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:39,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:40,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:41,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:42,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:43,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:44,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:45,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:46,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:47,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:48,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:49,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:50,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:51,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:52,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:53,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:54,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:55,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:56,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:57,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:58,199,3901,78.02,199,3901,78.02
01-01-1970,00:01:59,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:00,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:01,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:02,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:03,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:04,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:05,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:06,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:07,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:08,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:09,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:10,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:11,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:12,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:13,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:14,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:15,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:16,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:17,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:18,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:19,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:20,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:21,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:22,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:23,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:24,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:25,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:26,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:27,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:28,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:29,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:30,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:31,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:32,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:33,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:34,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:35,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:36,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:37,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:38,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:39,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:40,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:41,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:42,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:43,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:44,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:45,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:46,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:47,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:48,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:49,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:50,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:51,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:52,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:53,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:54,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:55,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:56,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:57,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:58,199,3901,78.02,199,3901,78.02
01-01-1970,00:02:59,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:00,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:01,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:02,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:03,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:04,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:05,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:06,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:07,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:08,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:09,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:10,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:11,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:12,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:14,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:15,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:16,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:17,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:18,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:19,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:20,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:21,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:22,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:23,199,3901,78.02,199,3901,78.02
01-01-1970,00:03:24,177,3470,69.4,192,3764,75.28
01-01-1970,00:03:25,121,2372,47.44,163,3196,63.92
01-01-1970,00:03:26,79,1549,30.98,131,2568,51.36
01-01-1970,00:03:27,41,803,16.06,112,2196,43.92
01-01-1970,00:03:28,10,196,3.92,75,1470,29.4
01-01-1970,00:03:29,20,392,7.84,20,392,7.84
01-01-1970,00:03:30,109,2137,42.74,22,431,8.62
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:02,128,2509,50.18,86,1686,33.72
01-01-1970,00:00:03,193,3784,75.68,122,2392,47.84
01-01-1970,00:00:04,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:05,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:06,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:07,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:08,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:09,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:10,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:11,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:12,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:13,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:14,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:15,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:16,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:17,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:18,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:19,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:20,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:21,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:22,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:23,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:24,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:25,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:26,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:27,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:28,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:29,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:30,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:31,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:32,197,3862,77.24,197,3862,77.24
